date,store,item,sales
2018-01-02,1,1,102
2018-01-02,1,2,270
2018-01-02,1,3,106
2018-01-02,1,4,71
2018-01-02,1,5,188
2018-01-02,1,6,20
2018-01-02,1,7,102
2018-01-02,1,8,121
2018-01-02,1,9,214
2018-01-02,1,10,87
2018-01-02,1,11,99
2018-01-02,1,12,151
2018-01-02,1,13,130
2018-01-02,1,14,149
2018-01-02,1,15,257
2018-01-02,1,16,293
2018-01-02,1,17,191
2018-01-02,1,18,276
2018-01-02,1,19,160
2018-01-02,1,20,21
2018-01-02,1,21,252
2018-01-02,1,22,235
2018-01-02,1,23,48
2018-01-02,1,24,58
2018-01-02,1,25,169
2018-01-02,1,26,187
2018-01-02,1,27,270
2018-01-02,1,28,189
2018-01-02,1,29,174
2018-01-02,1,30,50
2018-01-02,1,31,54
2018-01-02,1,32,243
2018-01-02,1,33,130
2018-01-02,1,34,134
2018-01-02,1,35,20
2018-01-02,1,36,166
2018-01-02,1,37,273
2018-01-02,1,38,88
2018-01-02,1,39,13
2018-01-02,1,40,241
2018-01-02,1,41,264
2018-01-02,1,42,52
2018-01-02,1,43,91
2018-01-02,1,44,263
2018-01-02,1,45,34
2018-01-02,1,46,205
2018-01-02,1,47,80
2018-01-02,1,48,49
2018-01-02,1,49,1
2018-01-02,1,50,53
2018-01-02,2,1,105
2018-01-02,2,2,259
2018-01-02,2,3,190
2018-01-02,2,4,217
2018-01-02,2,5,43
2018-01-02,2,6,161
2018-01-02,2,7,201
2018-01-02,2,8,269
2018-01-02,2,9,270
2018-01-02,2,10,214
2018-01-02,2,11,251
2018-01-02,2,12,189
2018-01-02,2,13,295
2018-01-02,2,14,212
2018-01-02,2,15,207
2018-01-02,2,16,236
2018-01-02,2,17,52
2018-01-02,2,18,279
2018-01-02,2,19,216
2018-01-02,2,20,251
2018-01-02,2,21,187
2018-01-02,2,22,40
2018-01-02,2,23,156
2018-01-02,2,24,14
2018-01-02,2,25,64
2018-01-02,2,26,8
2018-01-02,2,27,128
2018-01-02,2,28,135
2018-01-02,2,29,62
2018-01-02,2,30,138
2018-01-02,2,31,80
2018-01-02,2,32,162
2018-01-02,2,33,288
2018-01-02,2,34,260
2018-01-02,2,35,230
2018-01-02,2,36,40
2018-01-02,2,37,27
2018-01-02,2,38,134
2018-01-02,2,39,200
2018-01-02,2,40,267
2018-01-02,2,41,32
2018-01-02,2,42,47
2018-01-02,2,43,61
2018-01-02,2,44,215
2018-01-02,2,45,292
2018-01-02,2,46,98
2018-01-02,2,47,171
2018-01-02,2,48,213
2018-01-02,2,49,34
2018-01-02,2,50,226
2018-01-02,3,1,100
2018-01-02,3,2,130
2018-01-02,3,3,256
2018-01-02,3,4,4
2018-01-02,3,5,217
2018-01-02,3,6,254
2018-01-02,3,7,282
2018-01-02,3,8,206
2018-01-02,3,9,14
2018-01-02,3,10,41
2018-01-02,3,11,178
2018-01-02,3,12,62
2018-01-02,3,13,230
2018-01-02,3,14,240
2018-01-02,3,15,51
2018-01-02,3,16,95
2018-01-02,3,17,221
2018-01-02,3,18,230
2018-01-02,3,19,236
2018-01-02,3,20,142
2018-01-02,3,21,170
2018-01-02,3,22,28
2018-01-02,3,23,35
2018-01-02,3,24,12
2018-01-02,3,25,159
2018-01-02,3,26,186
2018-01-02,3,27,242
2018-01-02,3,28,85
2018-01-02,3,29,283
2018-01-02,3,30,65
2018-01-02,3,31,169
2018-01-02,3,32,44
2018-01-02,3,33,61
2018-01-02,3,34,133
2018-01-02,3,35,283
2018-01-02,3,36,27
2018-01-02,3,37,107
2018-01-02,3,38,43
2018-01-02,3,39,285
2018-01-02,3,40,127
2018-01-02,3,41,230
2018-01-02,3,42,189
2018-01-02,3,43,224
2018-01-02,3,44,282
2018-01-02,3,45,120
2018-01-02,3,46,115
2018-01-02,3,47,232
2018-01-02,3,48,258
2018-01-02,3,49,197
2018-01-02,3,50,136
2018-01-02,4,1,164
2018-01-02,4,2,224
2018-01-02,4,3,233
2018-01-02,4,4,171
2018-01-02,4,5,151
2018-01-02,4,6,159
2018-01-02,4,7,95
2018-01-02,4,8,232
2018-01-02,4,9,179
2018-01-02,4,10,112
2018-01-02,4,11,51
2018-01-02,4,12,267
2018-01-02,4,13,294
2018-01-02,4,14,112
2018-01-02,4,15,100
2018-01-02,4,16,112
2018-01-02,4,17,80
2018-01-02,4,18,186
2018-01-02,4,19,112
2018-01-02,4,20,1
2018-01-02,4,21,129
2018-01-02,4,22,219
2018-01-02,4,23,53
2018-01-02,4,24,223
2018-01-02,4,25,224
2018-01-02,4,26,125
2018-01-02,4,27,129
2018-01-02,4,28,52
2018-01-02,4,29,171
2018-01-02,4,30,217
2018-01-02,4,31,159
2018-01-02,4,32,197
2018-01-02,4,33,246
2018-01-02,4,34,202
2018-01-02,4,35,183
2018-01-02,4,36,122
2018-01-02,4,37,254
2018-01-02,4,38,293
2018-01-02,4,39,279
2018-01-02,4,40,97
2018-01-02,4,41,197
2018-01-02,4,42,239
2018-01-02,4,43,143
2018-01-02,4,44,96
2018-01-02,4,45,200
2018-01-02,4,46,123
2018-01-02,4,47,186
2018-01-02,4,48,258
2018-01-02,4,49,147
2018-01-02,4,50,251
2018-01-02,5,1,146
2018-01-02,5,2,147
